time;model_id;model_name;port_name;data
0;1;blinky;;Status:, 0, sigma: 0.75
0;2;generator;;Status:, 0
0.75;1;blinky;out;0
0.75;1;blinky;;Status:, 1, sigma: 0.75
1.5;1;blinky;out;1
1.5;1;blinky;;Status:, 0, sigma: 0.75
2.25;1;blinky;out;0
2.25;1;blinky;;Status:, 1, sigma: 0.75
3;1;blinky;out;1
3;1;blinky;;Status:, 0, sigma: 0.75
3.75;1;blinky;out;0
3.75;1;blinky;;Status:, 1, sigma: 0.75
4.5;1;blinky;out;1
4.5;1;blinky;;Status:, 0, sigma: 0.75
5.25;1;blinky;out;0
5.25;1;blinky;;Status:, 1, sigma: 0.75
6;1;blinky;out;1
6;1;blinky;;Status:, 0, sigma: 0.75
6.75;1;blinky;out;0
6.75;1;blinky;;Status:, 1, sigma: 0.75
7.5;1;blinky;out;1
7.5;1;blinky;;Status:, 0, sigma: 0.75
8.25;1;blinky;out;0
8.25;1;blinky;;Status:, 1, sigma: 0.75
9;1;blinky;out;1
9;1;blinky;;Status:, 0, sigma: 0.75
9.75;1;blinky;out;0
9.75;1;blinky;;Status:, 1, sigma: 0.75
10.5;1;blinky;out;1
10.5;1;blinky;;Status:, 0, sigma: 0.75
11.25;1;blinky;out;0
11.25;1;blinky;;Status:, 1, sigma: 0.75
12;1;blinky;out;1
12;1;blinky;;Status:, 0, sigma: 0.75
12.75;1;blinky;out;0
12.75;1;blinky;;Status:, 1, sigma: 0.75
13.5;1;blinky;out;1
13.5;1;blinky;;Status:, 0, sigma: 0.75
14.25;1;blinky;out;0
14.25;1;blinky;;Status:, 1, sigma: 0.75
15;1;blinky;out;1
15;1;blinky;;Status:, 0, sigma: 0.75
15.75;1;blinky;out;0
15.75;1;blinky;;Status:, 1, sigma: 0.75
16.5;1;blinky;out;1
16.5;1;blinky;;Status:, 0, sigma: 0.75
17.25;1;blinky;out;0
17.25;1;blinky;;Status:, 1, sigma: 0.75
17.5571;1;blinky;;Status:, 1, sigma: 0.75
17.5571;2;generator;out;0
17.5571;2;generator;;Status:, 0
18.3071;1;blinky;out;1
18.3071;1;blinky;;Status:, 0, sigma: 0.75
19.0571;1;blinky;out;0
19.0571;1;blinky;;Status:, 1, sigma: 0.75
19.8071;1;blinky;out;1
19.8071;1;blinky;;Status:, 0, sigma: 0.75
20.5571;1;blinky;out;0
20.5571;1;blinky;;Status:, 1, sigma: 0.75
21.3071;1;blinky;out;1
21.3071;1;blinky;;Status:, 0, sigma: 0.75
22.0571;1;blinky;out;0
22.0571;1;blinky;;Status:, 1, sigma: 0.75
22.8071;1;blinky;out;1
22.8071;1;blinky;;Status:, 0, sigma: 0.75
23.5571;1;blinky;out;0
23.5571;1;blinky;;Status:, 1, sigma: 0.75
24.3071;1;blinky;out;1
24.3071;1;blinky;;Status:, 0, sigma: 0.75
25.0571;1;blinky;out;0
25.0571;1;blinky;;Status:, 1, sigma: 0.75
25.8071;1;blinky;out;1
25.8071;1;blinky;;Status:, 0, sigma: 0.75
26.5571;1;blinky;out;0
26.5571;1;blinky;;Status:, 1, sigma: 0.75
27.3071;1;blinky;out;1
27.3071;1;blinky;;Status:, 0, sigma: 0.75
28.0571;1;blinky;out;0
28.0571;1;blinky;;Status:, 1, sigma: 0.75
28.8071;1;blinky;out;1
28.8071;1;blinky;;Status:, 0, sigma: 0.75
28.9908;1;blinky;;Status:, 0, sigma: 3
28.9908;2;generator;out;0
28.9908;2;generator;;Status:, 0
31.9908;1;blinky;out;0
31.9908;1;blinky;;Status:, 1, sigma: 3
34.9908;1;blinky;out;1
34.9908;1;blinky;;Status:, 0, sigma: 3
37.9908;1;blinky;out;0
37.9908;1;blinky;;Status:, 1, sigma: 3
40.9908;1;blinky;out;1
40.9908;1;blinky;;Status:, 0, sigma: 3
43.1114;1;blinky;;Status:, 0, sigma: 0.75
43.1114;2;generator;out;0
43.1114;2;generator;;Status:, 0
43.8614;1;blinky;out;0
43.8614;1;blinky;;Status:, 1, sigma: 0.75
44.6114;1;blinky;out;1
44.6114;1;blinky;;Status:, 0, sigma: 0.75
